utam_origen,porcentaje_Febrero,porcentaje_Marzo,porcentaje_Abril,porcentaje_Mayo,porcentaje_Junio,porcentaje_Julio
UTAM31,28.57142857,20.44025157,24.32432432,34.57943925,22.09302326,22.3255814
UTAM105,0,9.589041096,21.62162162,37.83783784,25.45454545,38.65546218
UTAM84,6.25,8.565310493,6.343283582,13.20754717,6.12244898,5.797101449
UTAM10,0,16.4556962,25,26.07003891,19.67213115,18.05555556
UTAM86,0,7.466666667,7.782101167,14.28571429,6.25,3.703703704
UTAM26,0,12.86549708,21.81818182,30.6122449,28.20512821,27.5
UTAM640,0,66.66666667,13.57798165,7.878787879,29.72972973,18.3908046
UTAM500,0,19.69230769,15.2027027,29.03225806,13.88888889,17.68292683
UTAM520,0,14.08199643,11.6,18.48739496,20,13.51351351
UTAM573,0,11.41732283,8.187134503,13.04347826,7.407407407,8.571428571
UTAM93,21.42857143,14.67576792,12.32449298,17.6119403,14.11764706,16.45244216
UTAM97,0,17.84776903,24.7582205,29.29447853,24.2481203,27.01754386
UTAM41,16.66666667,17.64705882,18.03278689,18.49056604,19.39655172,16.70702179
UTAM40,0,18.51851852,16.27906977,19.77077364,20.63953488,20.37037037
UTAM83,0,8.823529412,15.38461538,20.51282051,4.255319149,20.1754386
UTAM22,22.22222222,12.37113402,22.90909091,28.76254181,20.14925373,27.09359606
UTAM29,0,8.219178082,14.50617284,14.65968586,13.41463415,16.58767773
UTAM46,0,13.95348837,28.40909091,18.18181818,25.67567568,21.12676056
UTAM81,0,12.72727273,9.32642487,19.35483871,13.51351351,14.49275362
UTAM70,0,11.70568562,10.71428571,11.39240506,26.47058824,16.41025641
UTAM44,4.761904762,19.87179487,25.32299742,21.90812721,14.60674157,22.97297297
UTAM110,33.33333333,23.75,21.02272727,26.98412698,30.3030303,27.5862069
UTAM21,27.27272727,25,24.10714286,30.32069971,26.19047619,23.35329341
UTAM102,20,20.07874016,18.86792453,22.13114754,31.2195122,19.45288754
UTAM590,25,18.89400922,30.37735849,46.5,35.66433566,41.05263158
UTAM18,0,25.3968254,20,26.06516291,21.4559387,39.74358974
UTAM14,12.5,24.13793103,27.01149425,34.52157598,28.96341463,41.42857143
UTAM79,0,9.090909091,10,16.98113208,13.41463415,10.1010101
UTAM47,6.666666667,7.365439093,11.51685393,13.69863014,17.47572816,13.33333333
UTAM91,16.66666667,12.65822785,12.78538813,15.09433962,16.18257261,18.7150838
UTAM115,16.66666667,19.25925926,23.68421053,24.78991597,34.7826087,25.19685039
UTAM95,0,9.302325581,5.730659026,15.90909091,11.76470588,21.95121951
UTAM24,0,16.66666667,23.66412214,35.30997305,35.50724638,34.55284553
UTAM112,0,20.37037037,22.11538462,32.21757322,34.51327434,22.27272727
UTAM50,0,15,4.938271605,6.701030928,11.49425287,11.18012422
UTAM30,0,11,12.82051282,18.48341232,22.22222222,30.97345133
UTAM33,16.66666667,18.33333333,10.95238095,16.78082192,20.32085561,17.34693878
UTAM48,9.259259259,7.103825137,15.625,13.42756184,11.42857143,17.28395062
UTAM38,16.21621622,18.22222222,14.11042945,15.85081585,16.08695652,19.23076923
UTAM23,20,33.33333333,39.21568627,38.30845771,46.25,40
UTAM99,4.347826087,10.53984576,19.58333333,21.24492558,17.9245283,15.55555556
UTAM17,0,27.45098039,23.77622378,28.19843342,23.31606218,23
UTAM59,0,50,4.545454545,5.673758865,2.985074627,2.777777778
UTAM80,100,5.701754386,27.77777778,13.54166667,23.07692308,10.55045872
UTAM620,0,50,26.66666667,17.57188498,16.35832522,13.63636364
UTAM98,53.84615385,15.72700297,20,28.18181818,31.46853147,22.32142857
UTAM36,3.571428571,21.02272727,10.48387097,16.52173913,17.11711712,13.80368098
UTAM65,17.85714286,16.40866873,20.61068702,22.80701754,19.14893617,14.28571429
UTAM49,3.703703704,10.81081081,9.803921569,18.46153846,5.555555556,13.29479769
UTAM572,0,26.08695652,7.692307692,5.333333333,7.655502392,4.098360656
UTAM75,4.918032787,14.55399061,11.33333333,24,13.23529412,23
UTAM20,0,28.16901408,21.25,36.44444444,38.33333333,30.8411215
UTAM82,0,7.96460177,8.235294118,13.69863014,9.375,7.103825137
UTAM670,0,0,0,8.461538462,17.5,11.73469388
UTAM72,0,19.35483871,17.93103448,18.04123711,19.17808219,21.56862745
UTAM3,0,22.22222222,12.5,62.5,50,82.5
UTAM16,14.28571429,18.4,31.03448276,36.72883788,31.73076923,30.48327138
UTAM52,0,5,5.53633218,16.25,9.589041096,7.462686567
UTAM43,0,32.78688525,20.23809524,16.36363636,22.5,16.83168317
UTAM19,0,25,26.31578947,26.40586797,35.05747126,33.51955307
UTAM111,16.66666667,26.47058824,23.80952381,16.4983165,29.87012987,23.91304348
UTAM39,6.451612903,11.53846154,12.04819277,16.37168142,13.37579618,14.90196078
UTAM101,0,16.04938272,22.90322581,17.76556777,15.97633136,21.32867133
UTAM104,20,16.66666667,14.49275362,23.84615385,26.76056338,22.22222222
UTAM600,0,25,16.35687732,34.40366972,32.14285714,45
UTAM71,0,11.02150538,11.53846154,16.17647059,17.74193548,38.46153846
UTAM85,3.448275862,9.020618557,10.52631579,18.33333333,7.692307692,7.216494845
UTAM57,50,18.18181818,5.732484076,8.445297505,9.259259259,5.704697987
UTAM78,0,18.51851852,5.714285714,7.373271889,12.82051282,18.81188119
UTAM113,14.89361702,15.87301587,20.68965517,19.77186312,28,20
UTAM107,0,27.41935484,24.71910112,22.40896359,26.80412371,28.04878049
UTAM74,0,13.33333333,11.18012422,18.60465116,17.07317073,13.15789474
UTAM109,0,24,29.6,33.65384615,34.86238532,28.97196262
UTAM563,0,9.090909091,31.16883117,13.5620915,17.96116505,13.26530612
UTAM580,0,28.57142857,8.490566038,6.986899563,8.333333333,12.97297297
UTAM100,13.63636364,20.98765432,22.36024845,18.82556131,14.63414634,18.53658537
UTAM28,13.4502924,10.60606061,9.401709402,20.7253886,23.91304348,17.03703704
UTAM11,14.81481481,24.33862434,14.88095238,15.56886228,25,10.25641026
UTAM540,0,37.83783784,11.97339246,24.39613527,13.33333333,13.65461847
UTAM92,33.33333333,8.333333333,4.347826087,18.33333333,16.27906977,9.271523179
UTAM45,0,12.94964029,18.07228916,20.89552239,16.66666667,18.29268293
UTAM700,0,0,0,8.457711443,8.403361345,42.85714286
UTAM69,57.14285714,7.142857143,21.81818182,14.28571429,23.80952381,17
UTAM114,0,33.63636364,16,34.41558442,24.35897436,29.13907285
UTAM570,50,19.35483871,8.955223881,12.19512195,9.022556391,10.90909091
UTAM117,0,37.5,37.33333333,54.7008547,46,48.95833333
UPR1,100,22.5,18.18181818,15.95744681,37.14285714,17.5
UTAM34,28.57142857,15.78947368,9.383378016,10.2244389,10.41666667,14.56692913
UTAM42,6.428571429,17.3553719,15.26717557,18.55670103,9.016393443,17.29957806
UTAM54,11.11111111,4,8.333333333,9.836065574,4.545454545,11.57894737
UTAM13,0,18.08510638,37.86982249,30.22875817,29.10798122,41.53846154
UTAM94,11.76470588,11.76470588,9.836065574,21.19700748,11.34020619,15.2173913
UTAM32,0,3.846153846,12.07430341,9.734513274,9.734513274,12.82051282
UTAM73,16.66666667,2.857142857,11.27596439,24.91103203,30.97345133,20.28985507
