utam_origen,porcentaje_Febrero,porcentaje_Marzo,porcentaje_Abril,porcentaje_Mayo,porcentaje_Junio,porcentaje_Julio
UTAM31,0,20,21.62162162,17.75700935,20.93023256,20
UTAM105,16.66666667,24.65753425,31.08108108,20.94594595,23.63636364,15.12605042
UTAM84,15,7,9.701492537,14.1509434,5.102040816,5.797101449
UTAM10,0,11.39240506,14,10.11673152,19.67213115,14.58333333
UTAM86,0,10,8.949416342,12.24489796,28.125,7.037037037
UTAM26,50,17,21,15,17,14
UTAM640,0,0,0.183486239,0.606060606,2.702702703,0
UTAM500,0,2.769230769,2.364864865,2.580645161,2.777777778,0.609756098
UTAM520,50,2.317290553,3.6,5.042016807,1.818181818,3.603603604
UTAM573,0,2.362204724,1.364522417,3.804347826,0,0.952380952
UTAM93,14,20,14,16,21,18
UTAM97,28,15,10,10,11,8
UTAM41,0,31.37254902,16.39344262,12.45283019,10,13
UTAM40,12.5,14.81481481,23.25581395,15,17,15
UTAM83,0,5.882352941,8.615384615,15.38461538,14.89361702,7.01754386
UTAM22,11.11111111,16.49484536,17,8.695652174,11.94029851,12.31527094
UTAM29,20,12.32876712,10,9.42408377,14.63414634,9.952606635
UTAM46,46,11.62790698,15.90909091,17,16,14.78873239
UTAM81,0,12,11.39896373,12.90322581,21.62162162,5.797101449
UTAM70,50,13,30.35714286,21.51898734,17.64705882,15
UTAM44,19,17,18,15,19.1011236,12.83783784
UTAM110,22.22222222,27.5,19,14,10.60606061,11.33004926
UTAM21,0,16.34615385,13.39285714,10.49562682,8.333333333,10
UTAM102,12,14,13,12,10,9
UTAM590,0,0.614439324,0,0,2.797202797,0
UTAM18,33.33333333,11.11111111,7.777777778,4.761904762,9,7.692307692
UTAM14,25,30,28,15,20,19
UTAM79,33.33333333,6.060606061,22.22222222,3.773584906,15,13
UTAM47,27,19,16,23,16.50485437,24
UTAM91,0,15.18987342,10.95890411,12,13,9
UTAM115,33.33333333,17.77777778,11.84210526,18,14.49275362,15.7480315
UTAM95,0,9.302325581,12,14.77272727,2.941176471,17.07317073
UTAM24,38,14.28571429,12.21374046,10.2425876,10.14492754,8.536585366
UTAM112,20,34,25,21,23,18
UTAM50,100,40,20,17.5257732,21.83908046,18
UTAM30,50,17,19,18.00947867,29.62962963,15.92920354
UTAM33,0,13.33333333,13.80952381,16,22,11.73469388
UTAM48,17,27,20,19,27.14285714,20.98765432
UTAM38,14,23,22,17,18,17
UTAM23,20,27.27272727,11.2745098,10.94527363,12.5,7.058823529
UTAM99,17,14,15,17,20,15
UTAM17,0,11.76470588,8.391608392,3.916449086,5.699481865,16
UTAM59,100,25,22.72727273,24,27,18.05555556
UTAM80,0,10.96491228,22.22222222,15.625,19.23076923,7.339449541
UTAM620,0,0,0,0,0,0
UTAM98,7.692307692,11,11,9.696969697,15,12
UTAM36,8,8.522727273,11.29032258,11.30434783,7.207207207,13
UTAM65,0,12,18.32061069,16.66666667,21.27659574,21.42857143
UTAM49,15,11,16.66666667,16.92307692,16.66666667,10.98265896
UTAM572,100,4.347826087,4.395604396,2.095238095,1.913875598,4.508196721
UTAM75,21,20,18.66666667,20.5,13,18
UTAM20,0,22.53521127,13.75,6.222222222,6.666666667,6.230529595
UTAM82,12.5,14,9.019607843,13.69863014,21.875,7.650273224
UTAM670,0,0,0,0.384615385,2.5,0
UTAM72,0,12.90322581,6.896551724,9.278350515,10.95890411,3.921568627
UTAM3,0,11.11111111,12.5,0,12.5,1.666666667
UTAM16,50,27,11.49425287,7,10,13
UTAM52,0,10,10,22.5,12.32876712,5.970149254
UTAM43,44,11.47540984,17.85714286,19,21.25,20
UTAM19,0,19.44444444,9.473684211,4.156479218,5.747126437,5.586592179
UTAM111,42,33,24.76190476,18,23.37662338,19
UTAM39,3.225806452,16,19,22,15,17
UTAM101,42.85714286,15.43209877,10,12,15,15
UTAM104,40,20.37037037,12.31884058,17,20,16
UTAM600,0,0,0,0.917431193,1.785714286,0
UTAM71,0,16,19.23076923,14.70588235,12.90322581,11.53846154
UTAM85,10,16,17,12.5,15.38461538,13.40206186
UTAM57,0,24.24242424,9,20,16,19
UTAM78,0,33.33333333,45.71428571,14.28571429,16.66666667,14.85148515
UTAM113,13,20.63492063,41.37931034,17,24,25.33333333
UTAM107,25,22.58064516,12.35955056,11.20448179,13.40206186,9.146341463
UTAM74,0,6.666666667,13.66459627,18.60465116,4.87804878,9.210526316
UTAM109,66.66666667,24,17.6,16,11.9266055,13
UTAM563,0,9.090909091,0,0.816993464,0,0.510204082
UTAM580,0,14.28571429,1.886792453,1.310043668,8.333333333,0
UTAM100,9.090909091,14.19753086,16.77018634,12,13,17
UTAM28,6,12,9.829059829,16.58031088,13.04347826,12.59259259
UTAM11,26,21,10.71428571,13.77245509,28.125,14
UTAM540,0,0,1.55210643,1.93236715,5.333333333,1.606425703
UTAM92,0,16.66666667,8.695652174,9.166666667,9.302325581,7.284768212
UTAM45,37.5,19,21,16.91542289,28.33333333,20
UTAM700,0,0,0,0.248756219,0,0
UTAM69,0,18,8.181818182,10.71428571,14.28571429,11
UTAM114,0,14.54545455,20,16,16.66666667,9.933774834
UTAM570,0,6.451612903,4.690831557,4.87804878,3.007518797,1.818181818
UTAM117,50,14.58333333,8,6.837606838,4,12.5
UPR1,0,15,6.818181818,6.382978723,11.42857143,7.5
UTAM34,28.57142857,26.31578947,14,14,9.895833333,19
UTAM42,16,18,18,24,18,18
UTAM54,0,5.714285714,11.66666667,18.03278689,9.090909091,17.89473684
UTAM13,13.33333333,18.08510638,9.467455621,9,14,9.230769231
UTAM94,35,21,11,10,13,10
UTAM32,50,23.07692308,24,18.5840708,26,23
UTAM73,33.33333333,25.71428571,8.605341246,15,12.38938053,5.797101449
UTAM27,11.11111111,12.17391304,10.66176471,11,11,8.571428571
UTAM106,0,14.70588235,10,13.8047138,10.63829787,3.846153846
UTAM96,0,15.13157895,16,22.22222222,14.70588235,28
UTAM76,22,23.76237624,20.83333333,20.28985507,40,33
UTAM58,0,8.333333333,12.33766234,14,19,20
UTAM575,0,0,2.5,3.992395437,2.173913043,4.191616766
UTAM88,37.5,15.25423729,18.62745098,7.886435331,8.917197452,9.652509653
UTAM650,0,0,0.906344411,0.197628458,0,0
UTAM90,66.66666667,11.30434783,9.139784946,15,12.5,10.63829787
UTAM108,10,15.88785047,22.33009709,14.75409836,22.35294118,15.78947368
UTAM610,0,9.677419355,0,0.523560209,0.795228628,0
UTAM66,16.66666667,11,28.125,20.74074074,31.03448276,10.17699115
UTAM116,100,16.66666667,15.625,24.80620155,8.571428571,20.75471698
UTAM77,14.28571429,8.823529412,22.22222222,22.14285714,15,25
UTAM35,0,39.39393939,22.89156627,8.46325167,15,11
UTAM12,16.66666667,12.12121212,11,9.536784741,14.47368421,8.421052632
UTAM53,0,5.22875817,6.18556701,14.49275362,10,10.81081081
UPR3,0,5.128205128,19.75308642,10.52631579,9.375,18
UTAM690,0,0,0,0,1.612903226,0
UTAM501,0,13.20754717,12.09677419,6.382978723,18.18181818,7.407407407
UTAM51,0,12.5,19.04761905,12.68115942,8.860759494,21
UTAM571,0,20,2.37388724,1.616628176,1.57480315,2.631578947
UTAM2,0,3.571428571,2.083333333,7.843137255,10,17.94871795
UTAM56,0,20,9,17.44186047,16.03773585,9.589041096
UTAM9,10.71428571,5.992509363,12.55411255,10.35856574,12.24489796,9.722222222
UPR2,0,10,10,4,19.48051948,15.78947368
UTAM680,0,0,0,0.598802395,0.442477876,0
UTAM37,0,14.18918919,8.490566038,10.0591716,11,8.333333333
UTAM87,100,10.27027027,17,23.07692308,23.21428571,12.30769231
UTAM15,50,19.04761905,13.79310345,5.980066445,11.38211382,4
UTAM55,24,13,17.28395062,22.22222222,16.16161616,24.48979592
UTAM61,50,60,24.48979592,24,25,38
UTAM574,100,6.451612903,0.952380952,2.25,1.860465116,2.857142857
UTAM89,0,16.66666667,25.80645161,25,29,16.88311688
UTAM68,0,20,25,29.41176471,24,20.83333333
UTAM67,0,15,24,19.1011236,14.86486486,16.92307692
UTAM62,8,14,17.30769231,9.782608696,16.66666667,21.79487179
UTAM25,12.5,22.64150943,12.94117647,7.277628032,15,8.256880734
UTAM660,0,0,0,0,0,0
UTAM630,0,0,0,2.833333333,1.492537313,1.265822785
UTAM1,0,0,3.571428571,5.882352941,10.52631579,0
UTAM64,0,0,28.88888889,28.57142857,50,50
UTAM103,50,19.51219512,18.18181818,18.51851852,36.36363636,7.865168539
UTAM60,0,0,0,0,0,16.66666667
UTAM63,0,0,0,50,0,0
