utam_origen,porcentaje_Febrero,porcentaje_Marzo,porcentaje_Abril,porcentaje_Mayo,porcentaje_Junio,porcentaje_Julio
UTAM31,0,4.282655246,1.492537313,8.490566038,7.142857143,5.797101449
UTAM105,4.166666667,2.997858672,4.850746269,20.75471698,10.20408163,6.763285024
UTAM84,12.5,9.635974304,7.089552239,9.433962264,8.163265306,4.830917874
UTAM10,0,2.355460385,21.26865672,28.30188679,10.20408163,7.729468599
UTAM86,0,9.850107066,8.955223881,7.547169811,4.081632653,15.94202899
UTAM26,2.083333333,7.494646681,13.80597015,44.33962264,28.57142857,8.695652174
UTAM640,0,0,2.23880597,4.716981132,0,0.966183575
UTAM500,0,1.070663812,2.611940299,1.886792453,5.102040816,0.966183575
UTAM520,2.083333333,2.997858672,1.865671642,2.830188679,1.020408163,0.966183575
UTAM573,2.083333333,5.995717345,17.53731343,16.03773585,10.20408163,2.415458937
UTAM93,14.58333333,17.98715203,53.73134328,153.7735849,85.71428571,43.96135266
UTAM97,14.58333333,28.47965739,62.68656716,227.3584906,132.6530612,64.25120773
UTAM41,2.083333333,0.856531049,1.865671642,15.09433962,18.36734694,23.1884058
UTAM40,0,1.070663812,5.597014925,31.13207547,31.63265306,8.695652174
UTAM83,0,2.355460385,21.26865672,6.603773585,11.2244898,10.62801932
UTAM22,4.166666667,5.139186296,11.19402985,39.62264151,18.36734694,9.178743961
UTAM29,0,5.781584582,18.28358209,50,20.40816327,16.42512077
UTAM46,2.083333333,1.713062099,1.119402985,42.45283019,12.24489796,2.415458937
UTAM81,0,4.710920771,4.104477612,0,1.020408163,0.483091787
UTAM70,0,6.209850107,1.119402985,6.603773585,2.040816327,8.212560386
UTAM44,2.083333333,6.638115632,7.835820896,23.58490566,10.20408163,4.347826087
UTAM110,2.083333333,1.713062099,5.597014925,33.01886792,12.24489796,12.56038647
UTAM21,12.5,5.56745182,13.80597015,74.52830189,35.71428571,20.28985507
UTAM102,8.333333333,14.7751606,24.25373134,127.3584906,54.08163265,50.72463768
UTAM590,0,9.207708779,11.19402985,11.32075472,7.142857143,4.347826087
UTAM18,0,1.927194861,5.970149254,59.43396226,54.08163265,6.280193237
UTAM14,6.25,4.496788009,10.82089552,34.90566038,21.42857143,11.11111111
UTAM79,0,0.428265525,2.611940299,5.660377358,32.65306122,7.729468599
UTAM47,0,4.068522484,11.56716418,12.26415094,11.2244898,3.8647343
UTAM91,2.083333333,10.06423983,19.02985075,77.35849057,56.12244898,25.12077295
UTAM115,2.083333333,4.282655246,5.970149254,43.39622642,9.183673469,6.763285024
UTAM95,0,2.569593148,19.7761194,14.1509434,7.142857143,2.898550725
UTAM24,0,4.282655246,7.462686567,44.33962264,26.53061224,19.80676329
UTAM112,0,1.927194861,3.358208955,17.9245283,7.142857143,2.415458937
UTAM50,0,0.428265525,9.701492537,15.09433962,10.20408163,7.729468599
UTAM30,0,5.139186296,10.82089552,24.52830189,5.102040816,7.729468599
UTAM33,0,3.426124197,8.955223881,36.79245283,14.28571429,12.07729469
UTAM48,14.58333333,1.498929336,4.104477612,16.98113208,4.081632653,2.415458937
UTAM38,8.333333333,7.066381156,15.67164179,54.71698113,28.57142857,14.49275362
UTAM23,4.166666667,0.428265525,8.955223881,18.86792453,11.2244898,5.314009662
UTAM99,20.83333333,24.19700214,56.34328358,186.7924528,65.30612245,44.44444444
UTAM17,2.083333333,2.141327623,10.07462687,76.41509434,42.85714286,8.695652174
UTAM59,0,0,1.492537313,50.94339623,15.30612245,6.280193237
UTAM80,0,4.496788009,0.373134328,11.32075472,4.081632653,12.07729469
UTAM620,0,0,0.746268657,13.20754717,38.7755102,4.830917874
UTAM98,6.25,15.41755889,29.85074627,66.03773585,31.63265306,30.9178744
UTAM36,35.41666667,7.708779443,6.343283582,20.75471698,18.36734694,25.60386473
UTAM65,14.58333333,6.638115632,5.223880597,14.1509434,10.20408163,0.966183575
UTAM49,16.66666667,8.993576017,8.208955224,9.433962264,4.081632653,5.797101449
UTAM572,0,0,2.985074627,36.79245283,21.42857143,11.11111111
UTAM75,0,2.355460385,7.462686567,11.32075472,12.24489796,2.415458937
UTAM20,10.41666667,5.56745182,12.68656716,66.03773585,26.53061224,26.57004831
UTAM82,2.083333333,9.207708779,10.82089552,4.716981132,5.102040816,4.347826087
UTAM670,0,0,0.373134328,16.98113208,1.020408163,0.483091787
UTAM72,0,0.856531049,17.1641791,50,25.51020408,3.8647343
UTAM3,0,0.428265525,0.746268657,0,0,2.415458937
UTAM16,2.083333333,7.280513919,20.14925373,81.13207547,36.73469388,15.4589372
UTAM52,0,0.642398287,16.79104478,13.20754717,16.32653061,4.830917874
UTAM43,2.083333333,2.569593148,5.597014925,15.09433962,9.183673469,3.8647343
UTAM19,2.083333333,1.713062099,8.582089552,83.01886792,35.71428571,19.3236715
UTAM111,2.083333333,1.713062099,5.970149254,23.58490566,15.30612245,10.14492754
